FIPS State-County Code,Share of black students in majority-nonwhite schools,County share white,County share black,County share Latino
40067,10,72,1,11
40069,2,56,2,5
40071,8,64,3,10
40073,22,67,1,19
40075,0,63,6,17
40077,25,58,1,4
40079,6,53,2,9
40081,0,73,3,3
40083,22,69,9,8
40085,19,59,1,23
40087,68,62,3,17
40089,74,50,10,6
40091,39,52,6,2
40093,0,80,1,14
40095,100,41,2,23
40097,44,46,1,2
40099,0,63,2,6
40101,93,39,12,7
40103,4,67,2,3
40105,84,53,4,1
40107,73,46,5,2
40109,79,43,21,24
40111,83,47,9,3
40113,96,46,15,3
40115,42,52,1,7
40117,2,68,2,3
40119,0,69,4,5
40121,42,51,3,4
40123,72,52,2,5
40125,22,61,4,5
40127,11,58,1,2
40129,0,81,1,6
40131,15,57,2,5
40133,64,50,4,4
40135,74,44,4,5
40137,11,74,3,10
40139,76,37,1,59
40141,100,45,11,35
40143,79,50,15,17
40145,63,56,5,5
40147,1,63,5,7
40149,0,75,4,12
40151,0,83,3,7
40153,0,78,1,15
41001,0,86,0,8
41003,6,77,1,12
41005,3,75,1,14
41007,31,80,1,14
41009,0,84,1,7
41011,0,73,1,9
41013,0,75,0,16
41015,0,69,1,11
41017,0,84,1,11
41019,0,79,1,9
41021,.,85,0,10
41023,0,92,0,5
41025,0,85,0,5
41027,20,50,1,45
41029,6,74,1,18
41031,89,37,1,33
41033,0,82,1,10
41035,15,69,1,17
41037,0,78,1,15
41039,1,72,2,14
41041,3,68,1,16
41043,2,80,1,12
41045,71,44,0,51
41047,53,51,1,41
41049,38,48,0,49
41051,74,54,9,21
41053,1,69,1,22
41055,0,87,0,10
41057,0,70,1,22
41059,32,55,1,37
41061,0,87,0,6
41063,0,91,0,4
41065,0,65,1,27
41067,33,56,2,26
41069,0,87,0,8
41071,8,70,1,23
42001,0,85,3,11
42003,71,71,22,1
42005,0,97,1,0
42007,25,85,10,1
42009,0,97,1,1
42011,47,64,6,27
42013,0,94,4,1
42015,0,96,1,1
42017,16,83,5,5
42019,0,96,1,1
42021,0,91,6,1
42023,0,97,1,1
42025,0,91,3,5
42027,0,90,2,2
42029,19,75,10,9
42031,0,97,1,1
42033,0,97,1,1
42035,0,96,1,1
42037,0,94,2,2
42039,0,92,3,2
42041,0,83,4,5
42043,82,57,24,11
42045,83,59,31,3
42047,0,96,0,2
42049,70,78,12,5
42051,8,90,7,1
42053,.,97,0,2
42055,13,84,5,7
42057,0,97,1,1
42059,0,98,1,0
42061,0,96,2,1
42063,0,95,2,1
42065,0,98,0,1
42067,0,93,1,5
42069,14,81,6,9
42071,51,72,6,16
42073,0,88,9,1
42075,53,76,3,18
42077,68,56,9,30
42079,34,78,6,14
42081,23,86,7,2
42083,0,96,1,1
42085,61,85,11,1
42087,0,94,3,2
42089,39,59,20,18
42091,43,71,13,5
42093,0,91,2,3
42095,36,69,9,17
42097,0,92,2,4
42099,0,96,1,1
42101,98,14,59,17
42103,63,77,9,12
42105,0,97,1,1
42107,0,92,2,4
42109,0,94,2,3
42111,0,98,1,1
42113,0,97,2,1
42115,0,96,1,2
42117,0,97,1,1
42119,0,91,3,3
42121,0,95,3,1
42123,0,97,1,1
42125,0,91,4,1
42127,0,94,2,3
42129,11,92,4,1
42131,0,96,1,1
42133,52,78,9,8
44001,0,91,2,2
44003,0,88,2,6
44005,37,80,7,8
44007,77,50,11,32
44009,0,89,2,3
45001,67,60,36,1
45003,30,56,33,7
45005,100,2,95,2
45007,25,72,20,4
45009,100,27,69,1
45011,88,40,54,2
45013,68,44,31,20
45015,47,53,32,8
45017,81,31,64,4
45019,79,46,44,6
45021,38,67,26,5
45023,72,49,47,1
45025,72,54,38,4
45027,89,33,61,4
45029,95,44,49,3
45031,83,42,55,2
45033,83,36,55,3
45035,53,54,33,6
45037,69,51,43,3
45039,100,11,86,2
45041,72,42,52,3
45043,71,50,45,4
45045,44,59,23,12
45047,63,53,36,9
45049,97,32,64,2
45051,23,65,21,8
45053,100,14,62,23
45055,22,65,28,4
45057,72,63,29,6
45059,32,59,31,7
45061,100,6,93,1
45063,43,68,20,6
45065,100,19,80,0
45067,100,23,73,2
45069,94,31,59,1
45071,68,48,37,12
45073,0,78,10,8
45075,91,20,77,2
45077,0,83,7,5
45079,87,34,56,5
45081,95,43,32,23
45083,56,62,24,9
45085,92,33,61,3
45087,14,59,37,1
45089,100,6,92,1
45091,30,67,22,6
46003,0,89,1,8
46005,7,70,2,11
46007,100,25,0,3
46009,0,96,1,1
46011,0,89,1,3
46013,0,89,1,1
46015,0,66,0,3
46017,.,0,.,.
46019,0,88,0,6
46021,.,98,0,1
46023,80,48,0,3
46025,0,94,1,4
46027,0,82,3,3
46029,0,92,1,2
46031,.,20,0,1
46033,0,80,1,5
46035,0,90,1,3
46037,0,85,0,2
46039,0,96,1,2
46041,.,32,0,1
46043,0,95,0,1
46045,0,93,0,5
46047,0,73,1,3
46049,0,97,1,0
46051,0,95,0,3
46053,0,82,0,1
46055,0,91,0,1
46057,0,95,0,4
46059,.,98,0,1
46061,0,97,0,1
46063,.,98,0,1
46065,0,77,1,3
46067,0,96,1,2
46069,.,82,0,1
46071,.,45,0,0
46073,0,97,0,2
46075,0,79,3,2
46077,0,94,1,3
46079,0,94,1,2
46081,0,88,1,5
46083,0,94,1,2
46085,.,64,0,0
46087,0,96,0,1
46089,0,98,1,0
46091,0,92,1,3
46093,0,89,1,3
46095,100,16,0,0
46097,0,96,1,2
46099,26,77,8,6
46101,0,66,2,2
46103,15,72,2,5
46105,.,96,0,0
46107,0,93,1,1
46109,30,56,1,2
46111,.,94,0,2
46113,.,0,0,3
46115,0,97,1,1
46117,0,78,0,1
46119,0,93,1,1
46121,100,2,0,0
46123,0,73,1,1
46125,0,95,1,2
46127,0,92,1,3
46129,0,72,0,2
46135,0,89,2,4
46137,.,15,0,0
47001,0,87,7,3
47003,29,70,9,19
47005,0,93,3,2
47007,0,93,1,5
47009,0,91,4,3
47011,0,85,7,6
47013,0,98,0,1
47015,0,95,1,2
47017,0,84,12,2
47019,0,95,2,2
47021,0,94,2,3
47023,0,82,13,3
47025,0,97,1,1
47027,0,96,1,2
47029,0,92,3,3
47031,0,87,4,5
47033,0,70,14,15
47035,0,94,1,4
47037,92,32,46,17
47039,0,91,4,4
47041,0,88,2,9
47043,0,88,6,4
47045,21,74,21,4
47047,82,37,58,4
47049,0,98,0,1
47051,0,89,6,4
47053,45,73,23,3
47055,0,81,14,1
47057,0,95,0,4
47059,0,93,2,3
47061,0,99,0,1
47063,27,75,4,17
47065,66,59,31,7
47067,0,99,0,0
47069,85,44,52,2
47071,0,92,5,2
47073,0,95,2,2
47075,100,31,62,6
47077,0,86,10,3
47079,0,85,12,2
47081,0,94,2,2
47083,0,92,4,2
47085,0,94,4,1
47087,0,98,0,1
47089,0,91,2,5
47091,0,97,1,2
47093,27,77,14,5
47095,0,68,27,2
47097,84,54,41,3
47099,0,95,2,2
47101,0,93,2,2
47103,0,85,9,4
47105,0,84,2,13
47107,0,87,6,4
47109,0,90,7,1
47111,0,93,0,6
47113,86,34,59,5
47115,0,93,4,2
47117,0,84,8,6
47119,13,72,18,7
47121,0,97,1,1
47123,0,91,3,5
47125,62,58,24,10
47127,0,96,3,1
47129,0,99,0,1
47131,39,79,14,5
47133,0,98,1,1
47135,0,93,3,2
47137,.,98,0,2
47139,0,97,1,2
47141,5,85,3,10
47143,0,90,2,7
47145,0,92,4,2
47147,48,80,10,9
47149,32,67,17,10
47151,0,99,0,0
47153,0,93,0,5
47155,0,90,1,6
47157,95,20,69,7
47159,0,92,3,4
47161,0,95,2,2
47163,0,92,4,2
47165,7,83,10,5
47167,41,73,24,2
47169,0,84,13,3
47171,0,91,0,9
47173,0,94,3,1
47175,0,98,0,1
47177,0,81,4,13
47179,11,87,6,5
47181,0,97,1,1
47183,0,89,8,2
47185,0,94,3,2
47187,8,85,5,5
47189,0,83,9,5
48001,63,57,17,22
48003,100,31,2,65
48005,88,49,17,31
48007,14,53,1,40
48009,0,85,0,11
48011,0,86,2,10
48013,100,25,0,74
48015,60,49,10,38
48017,100,19,0,80
48019,0,68,1,29
48021,71,39,7,50
48023,0,73,3,21
48025,100,20,2,77
48027,96,36,26,29
48029,99,17,7,72
48031,0,64,1,32
48033,.,74,0,17
48035,0,65,2,30
48037,82,56,31,8
48039,82,41,13,38
48041,77,38,18,39
48043,100,31,1,66
48045,0,57,2,39
48047,100,1,0,98
48049,29,62,5,30
48051,60,51,16,31
48053,6,62,2,34
48055,95,30,5,63
48057,100,31,2,62
48059,0,84,1,12
48061,100,3,0,97
48063,100,41,18,38
48065,0,86,1,11
48067,17,70,20,6
48069,97,22,2,75
48071,40,66,6,24
48073,71,51,15,32
48075,0,53,6,37
48077,0,87,1,8
48079,87,30,2,66
48081,.,65,0,34
48083,0,67,3,27
48085,43,53,10,20
48087,44,48,3,46
48089,88,38,16,43
48091,18,56,2,38
48093,40,53,0,45
48095,100,45,1,52
48097,94,61,5,29
48099,77,53,16,22
48101,100,42,16,38
48103,100,27,3,69
48105,100,22,1,76
48107,100,23,3,74
48109,.,9,0,89
48111,67,49,2,47
48113,99,15,24,55
48115,97,26,3,70
48117,100,12,1,86
48119,0,72,16,7
48121,63,54,9,26
48123,96,40,9,49
48125,100,54,1,44
48127,100,7,0,92
48129,0,71,9,16
48131,100,6,0,93
48133,3,73,1,24
48135,99,24,4,69
48137,.,30,0,70
48139,68,51,11,35
48141,100,6,2,90
48143,29,61,1,35
48145,94,27,32,39
48147,0,76,6,14
48149,56,53,9,36
48151,33,58,3,37
48153,100,21,3,76
48155,0,69,4,24
48157,93,29,22,30
48159,0,68,5,23
48161,0,61,15,21
48163,100,7,0,91
48165,65,46,2,50
48167,83,47,16,31
48169,100,37,4,56
48171,0,57,0,41
48173,.,51,0,49
48175,100,43,5,50
48177,100,25,7,67
48179,35,56,3,38
48181,28,68,8,17
48183,76,45,25,26
48185,88,43,20,36
48187,88,41,8,47
48189,100,21,4,74
48191,100,33,8,57
48193,0,78,0,19
48195,100,41,0,58
48197,0,62,5,28
48199,0,84,8,6
48201,96,19,20,54
48203,79,56,23,19
48205,70,50,1,46
48207,74,54,4,37
48209,91,40,3,54
48211,0,55,0,44
48213,47,67,9,21
48215,100,2,0,97
48217,57,58,9,30
48219,99,34,3,61
48221,0,77,1,19
48223,0,64,8,24
48225,73,54,28,15
48227,94,40,5,52
48229,100,12,0,86
48231,58,63,10,23
48233,17,61,3,31
48235,0,64,3,33
48237,0,75,1,22
48239,94,51,9,39
48241,81,66,22,9
48243,100,43,0,55
48245,96,28,41,24
48247,100,3,0,96
48249,100,14,0,85
48251,21,65,3,27
48253,69,57,4,36
48255,100,30,2,67
48257,50,60,10,26
48259,5,65,0,32
48261,.,27,0,71
48263,0,72,1,25
48265,40,51,2,44
48267,0,60,0,39
48269,.,79,0,21
48271,100,27,1,71
48273,100,14,3,82
48275,87,43,7,48
48277,85,67,17,11
48279,95,28,4,67
48281,0,66,3,25
48283,100,6,0,94
48285,0,69,8,20
48287,82,45,14,39
48289,8,66,8,23
48291,37,61,9,27
48293,76,41,22,32
48295,0,53,0,44
48297,100,42,1,56
48299,0,77,1,19
48303,92,38,10,49
48305,94,37,3,58
48307,64,52,2,44
48309,85,43,18,36
48311,.,59,0,37
48313,100,51,19,28
48315,0,53,40,5
48317,100,40,0,59
48319,.,61,0,39
48321,85,31,11,54
48323,100,1,0,97
48325,100,34,1,63
48327,100,47,1,52
48329,95,33,8,56
48331,89,49,12,37
48333,0,71,0,27
48335,99,42,5,50
48337,0,79,0,17
48339,39,58,5,32
48341,95,22,1,67
48343,75,54,30,11
48345,.,68,0,31
48347,86,46,20,31
48349,89,43,15,38
48351,0,69,25,3
48353,76,46,5,46
48355,94,20,4,73
48357,100,32,0,66
48359,0,74,5,19
48361,86,75,12,9
48363,0,64,3,31
48365,0,65,18,15
48367,0,79,1,16
48369,100,24,0,75
48371,100,16,1,82
48373,38,64,12,19
48375,79,35,10,46
48377,100,4,0,94
48379,0,79,3,14
48381,31,64,4,27
48383,100,20,0,79
48385,0,56,1,42
48387,82,62,21,12
48389,100,7,1,91
48391,100,31,7,60
48393,0,87,1,10
48395,82,44,25,28
48397,19,66,6,22
48399,71,48,1,49
48401,32,53,18,25
48403,0,82,8,5
48405,98,46,36,13
48407,0,68,14,16
48409,100,28,2,67
48411,0,55,1,43
48413,100,31,0,67
48415,97,43,2,53
48417,0,81,2,15
48419,67,51,20,27
48421,75,42,0,56
48423,73,43,22,31
48425,0,68,1,27
48427,100,0,0,99
48429,0,61,1,34
48431,100,48,1,47
48433,0,70,4,25
48435,100,28,0,70
48437,99,40,7,51
48439,86,36,18,38
48441,79,52,9,33
48443,.,37,0,59
48445,100,26,3,70
48447,.,79,0,20
48449,97,29,10,59
48451,88,41,4,52
48453,91,31,10,51
48455,0,68,13,15
48457,0,81,10,5
48459,0,74,11,11
48461,77,37,2,59
48463,89,16,0,82
48465,100,7,1,91
48467,0,78,3,15
48469,99,28,8,62
48471,85,46,24,27
48473,99,23,19,56
48475,100,36,5,58
48477,59,47,23,27
48479,100,1,0,99
48481,95,31,15,52
48483,0,53,4,38
48485,62,54,12,27
48487,71,48,9,38
48489,100,2,0,97
48491,64,52,7,32
48493,52,50,1,47
48495,91,32,2,64
48497,4,68,2,27
48499,0,75,4,17
48501,100,26,0,72
48503,0,69,1,27
48505,100,1,0,99
48507,100,2,0,97
49001,0,86,0,12
49003,0,88,1,9
49005,0,82,1,13
49007,0,86,0,12
49009,0,94,1,4
49011,0,85,1,9
49013,0,80,0,6
49015,0,89,1,8
49017,0,91,0,7
49019,0,78,1,14
49021,0,85,0,9
49023,0,94,1,3
49025,0,93,0,4
49027,0,81,0,16
49029,0,95,0,2
49031,0,88,2,10
49033,.,96,0,3
49035,46,67,2,22
49037,0,44,0,3
49039,0,85,1,12
49041,0,90,1,5
49043,4,80,0,16
49045,1,84,1,11
49047,0,86,0,6
49049,3,84,1,11
49051,0,84,0,14
49053,1,83,1,12
49055,0,95,0,3
49057,24,73,1,22
50001,0,96,1,1
50003,0,96,1,1
50005,0,97,1,1
50007,5,87,5,2
50009,0,97,0,1
50011,0,90,1,1
50013,0,95,1,1
50015,0,94,1,2
50017,0,97,1,1
50019,0,95,1,1
50021,0,96,1,1
50023,0,94,2,1
50025,0,92,2,2
50027,0,95,1,1
51001,96,42,38,19
51003,24,70,11,9
51005,0,89,7,1
51007,0,66,29,3
51009,0,68,24,3
51011,0,66,24,1
51013,81,45,11,29
51015,0,92,2,3
51017,0,93,2,2
51019,0,87,6,2
51021,0,97,0,0
51023,0,92,3,2
51025,100,19,78,2
51027,0,99,0,0
51029,0,55,36,3
51031,0,76,17,2
51033,0,56,32,5
51035,0,89,2,5
51036,100,30,58,0
51037,13,61,32,2
51041,53,56,27,10
51043,0,83,3,6
51045,0,98,0,1
51047,22,63,17,13
51049,50,51,42,4
51051,0,99,1,0
51053,28,55,35,5
51057,100,39,49,3
51059,80,44,10,22
51061,0,74,10,11
51063,0,92,2,3
51065,0,74,16,4
51067,0,82,9,4
51069,0,79,5,11
51071,0,95,1,1
51073,0,83,8,4
51075,0,71,20,4
51077,0,92,2,5
51079,0,78,9,6
51081,100,25,70,3
51083,56,51,45,3
51085,0,83,10,3
51087,87,44,38,7
51089,15,62,21,11
51091,.,95,0,3
51093,0,63,28,3
51095,9,66,18,8
51097,36,52,39,4
51099,0,68,21,4
51101,0,75,17,2
51103,100,44,50,1
51105,0,98,0,1
51107,26,57,7,15
51109,0,72,20,3
51111,22,51,38,6
51113,0,83,9,3
51115,0,83,9,3
51117,70,49,44,3
51119,0,72,19,2
51121,0,85,5,3
51125,0,74,14,7
51127,0,78,12,3
51131,100,33,48,16
51133,0,55,37,6
51135,44,49,42,6
51137,0,71,16,5
51139,0,93,2,3
51141,0,87,7,5
51143,4,70,24,3
51145,0,87,8,3
51147,100,37,57,4
51149,30,51,33,8
51153,84,36,20,29
51155,0,88,6,2
51157,0,88,3,4
51159,0,59,27,9
51161,0,82,6,4
51163,0,89,4,3
51165,0,84,2,11
51167,0,97,1,1
51169,0,96,1,2
51171,0,83,2,11
51173,0,95,2,2
51175,21,56,41,1
51177,7,64,19,11
51179,25,58,18,14
51181,100,35,61,2
51183,100,23,74,2
51185,0,95,3,0
51187,0,84,5,5
51191,0,93,1,3
51193,74,46,38,10
51195,0,96,2,1
51197,0,92,5,2
51199,0,66,12,7
51510,89,28,34,30
51515,0,75,17,2
51520,0,84,10,2
51530,0,87,7,2
51540,84,45,36,8
51550,73,51,33,6
51570,25,71,15,6
51580,0,77,18,2
51590,96,24,67,5
51595,100,28,70,1
51600,100,41,9,23
51610,0,69,4,11
51620,100,16,77,2
51630,100,35,41,17
51640,0,63,9,24
51650,98,28,60,5
51660,73,46,10,37
51670,100,33,53,8
51678,0,86,6,4
51680,91,38,51,3
51683,100,28,14,48
51685,100,30,11,46
51690,100,32,57,7
51700,96,29,55,10
51710,98,22,62,6
51720,0,83,9,2
51730,100,2,93,4
51735,0,93,1,2
51740,98,22,69,3
51750,0,81,10,2
51760,99,10,81,8
51770,68,44,42,7
51775,0,81,11,3
51790,3,69,17,5
51800,96,35,55,4
51810,67,52,24,9
51820,17,68,16,11
51830,0,56,25,11
51840,32,59,11,22
53001,50,23,0,76
53003,0,87,1,6
53005,13,66,2,26
53007,19,51,0,45
53009,0,71,1,11
53011,9,72,2,13
53013,0,81,2,12
53015,4,75,1,15
53017,50,50,0,46
53019,0,64,0,3
53021,86,27,2,68
53023,.,90,0,5
53025,28,40,1,55
53027,7,69,1,17
53029,0,72,5,9
53031,0,83,1,7
53033,79,50,9,15
53035,6,67,2,11
53037,0,81,1,14
53039,0,71,1,19
53041,0,77,1,16
53043,0,89,0,4
53045,5,70,1,17
53047,21,53,1,32
53049,0,72,0,17
53051,0,81,1,5
53053,58,59,9,14
53055,0,80,1,12
53057,40,62,1,31
53059,0,84,1,9
53061,38,64,3,15
53063,0,79,2,7
53065,4,82,0,4
53067,15,69,3,12
53069,0,87,2,6
53071,25,58,1,37
53073,4,72,2,16
53075,0,79,2,7
53077,63,28,1,65
54001,0,93,1,1
54003,1,80,10,6
54005,0,99,1,0
54007,0,98,1,0
54009,0,96,1,0
54011,20,88,8,1
54013,0,98,0,1
54015,0,99,1,0
54017,0,98,0,0
54019,0,92,6,1
54021,0,97,1,1
54023,0,98,1,1
54025,0,94,4,1
54027,0,96,1,1
54029,0,94,3,1
54031,0,92,3,4
54033,0,95,3,1
54035,0,98,1,0
54037,0,82,9,6
54039,19,84,13,1
54041,0,98,0,1
54043,0,99,1,0
54045,0,96,3,0
54047,0,88,11,0
54049,0,91,6,1
54051,0,97,1,1
54053,0,97,1,1
54055,0,87,9,1
54057,0,94,4,1
54059,0,97,2,0
54061,0,88,5,2
54063,0,97,2,1
54065,0,97,1,1
54067,0,98,1,0
54069,0,88,8,1
54071,0,94,4,1
54073,0,97,0,1
54075,0,99,0,0
54077,0,99,1,0
54079,0,96,2,1
54081,12,87,9,1
54083,0,97,1,1
54085,0,98,1,1
54087,0,97,1,1
54089,0,95,2,1
54091,0,98,1,0
54093,0,98,1,0
54095,0,98,1,0
54097,0,98,1,1
54099,0,98,1,0
54101,0,98,1,0
54103,0,98,0,1
54105,0,98,1,1
54107,0,95,2,1
54109,0,98,1,0
55001,0,92,1,5
55003,0,79,1,1
55005,0,91,1,4
55007,19,70,1,2
55009,30,72,5,13
55011,0,96,1,2
55013,0,83,3,3
55015,0,87,2,7
55017,0,95,1,2
55019,0,88,1,10
55021,0,90,1,5
55023,0,96,1,2
55025,52,69,10,10
55027,0,88,1,8
55029,0,90,2,5
55031,0,90,3,1
55033,0,89,1,2
55035,0,84,2,3
55037,0,94,1,3
55039,10,86,3,8
55041,0,72,1,2
55043,0,95,1,2
55045,0,92,1,4
55047,0,88,0,9
55049,0,96,1,2
55051,0,96,1,0
55053,0,80,1,4
55055,0,84,1,12
55057,0,92,1,3
55059,41,65,12,19
55061,0,93,1,5
55063,0,83,3,2
55065,0,93,1,5
55067,0,92,1,3
55069,0,95,1,1
55071,0,84,2,6
55073,11,80,1,3
55075,0,95,1,2
55077,0,92,1,5
55078,100,0,0,5
55079,90,35,38,19
55081,0,88,2,7
55083,0,92,1,3
55085,0,90,1,2
55087,0,84,2,5
55089,0,88,3,4
55091,0,96,0,2
55093,0,94,1,2
55095,0,94,1,2
55097,0,86,1,5
55099,0,95,1,1
55101,76,58,19,19
55103,0,93,1,4
55105,67,73,8,14
55107,0,94,1,2
55109,0,91,1,3
55111,0,88,1,7
55113,0,71,1,2
55115,0,80,0,3
55117,19,76,2,10
55119,0,95,1,3
55121,0,88,1,9
55123,0,95,1,2
55125,5,76,1,2
55127,11,75,1,20
55129,0,91,1,3
55131,0,90,2,5
55133,4,84,3,7
55135,0,92,1,5
55137,0,78,1,19
55139,0,83,2,7
55141,0,89,1,4
56001,0,76,1,16
56003,0,83,0,13
56005,0,88,1,8
56007,0,72,1,24
56009,0,90,1,8
56011,0,94,0,3
56013,0,58,0,6
56015,0,79,1,17
56017,0,93,1,3
56019,0,91,0,6
56021,6,73,2,20
56023,0,92,1,5
56025,7,86,2,9
56027,0,92,0,5
56029,0,90,0,7
56031,0,87,0,11
56033,0,90,0,5
56035,0,85,0,11
56037,0,76,1,20
56039,0,69,0,28
56041,0,88,1,10
56043,.,73,0,25
56045,0,92,0,4
60010,.,0,.,.
66010,100,1,0,0
69100,.,0,0,0
69110,.,1,0,0
69120,.,0,0,0
72001,.,0,0,100
72003,.,0,0,100
72005,.,0,0,100
72007,.,0,0,100
72009,.,0,0,100
72011,100,0,0,100
72013,100,0,0,100
72015,.,0,0,100
72017,.,0,0,100
72019,100,0,0,100
72021,100,0,0,100
72023,.,0,0,100
72025,100,0,0,100
72027,.,0,0,100
72029,.,0,0,100
72031,100,0,0,100
72033,.,0,0,100
72035,100,0,0,100
72037,.,0,0,100
72039,.,0,0,100
72041,.,0,0,100
72043,100,0,0,99
72045,.,0,0,100
72047,.,0,0,100
72049,.,1,0,99
72051,.,0,0,100
72053,100,0,0,100
72054,.,0,0,100
72055,.,0,0,100
72057,100,0,0,99
72059,.,0,0,100
72061,100,0,0,100
72063,.,0,0,100
72065,100,0,0,100
72067,.,0,0,100
72069,.,0,0,100
72071,100,0,0,100
72073,.,0,0,100
72075,100,0,0,100
72077,.,0,0,100
72079,.,0,0,100
72081,.,0,0,100
72083,.,0,0,100
72085,100,0,0,100
72087,.,0,0,100
72089,.,1,0,99
72091,.,0,0,100
72093,.,1,0,99
72095,.,0,0,100
72097,100,0,0,100
72099,.,0,0,100
72101,.,0,0,100
72103,.,0,0,100
72105,.,0,0,100
72107,100,0,0,100
72109,.,0,0,100
72111,.,0,0,100
72113,100,0,0,100
72115,.,0,0,100
72117,.,1,0,99
72119,.,0,0,100
72121,.,0,0,100
72123,100,0,0,100
72125,.,0,0,100
72127,100,0,0,100
72129,.,0,0,100
72131,.,0,0,100
72133,100,0,0,100
72135,100,0,0,100
72137,.,0,0,100
72139,.,0,0,100
72141,100,0,0,99
72143,.,0,0,100
72145,100,0,0,100
72147,.,0,0,100
72149,100,0,0,100
72151,100,0,0,99
72153,.,0,0,100
78010,100,1,71,27
78020,100,4,85,8
78030,100,2,86,11
